,,,,,,accuracy,accuracy,macro_f1,macro_f1,weighted_f1,weighted_f1,imp_mae_num,imp_mae_num,imp_rmse_num,imp_rmse_num,imp_acc_cat,imp_acc_cat,imp_n_num,imp_n_num,imp_n_cat,imp_n_cat,mae,mae,rmse,rmse,r2,r2
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,task,mechanism,rate,imputer,model,,,,,,,,,,,,,,,,,,,,,,
adult,classification,MAR,0.1,simple_mean,logistic_regression,0.8012,0.0044,0.7637,0.0054,0.8128,0.0042,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_mean,random_forest,0.782,0.0068,0.7486,0.006,0.7964,0.006,13349.1492,215.2269,18927.2499,687.9211,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_median,lightgbm,0.824,0.0048,0.7882,0.0051,0.8336,0.0043,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_median,logistic_regression,0.8021,0.0056,0.7646,0.0068,0.8136,0.0053,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.1,simple_median,random_forest,0.7808,0.0045,0.7475,0.0036,0.7953,0.0039,13098.1542,242.0719,19057.4672,755.4296,0.5222,0.0226,23447.6667,49.9633,30934.6667,50.6491,,,,,,
adult,classification,MAR,0.15,dropna,lightgbm,0.8323,0.0175,0.7889,0.0126,0.8376,0.0181,,,,,,,,,,,,,,,,
adult,classification,MAR,0.15,dropna,logistic_regression,0.803,0.0174,0.7676,0.0052,0.8135,0.0205,,,,,,,,,,,,,,,,
adult,classification,MAR,0.15,dropna,random_forest,0.8119,0.0261,0.7753,0.0027,0.8209,0.028,,,,,,,,,,,,,,,,
adult,classification,MAR,0.15,iterative,lightgbm,0.8149,0.002,0.7789,0.0024,0.8254,0.0018,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,iterative,logistic_regression,0.798,0.0028,0.7603,0.0022,0.8098,0.0024,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,iterative,random_forest,0.7808,0.0097,0.7471,0.0086,0.7952,0.0086,13086.1209,317.5628,18304.9106,491.0282,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_3,lightgbm,0.8133,0.0055,0.7774,0.0057,0.824,0.005,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_3,logistic_regression,0.7943,0.0047,0.757,0.0043,0.8066,0.0041,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_3,random_forest,0.7729,0.0085,0.7401,0.0076,0.7882,0.0075,20180.1506,4616.2903,25627.175,4084.2725,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_5,lightgbm,0.8142,0.0025,0.7783,0.0027,0.8248,0.0023,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_5,logistic_regression,0.7958,0.0039,0.7584,0.004,0.808,0.0035,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_5,random_forest,0.7713,0.0061,0.739,0.0057,0.7869,0.0055,19652.3891,4937.754,24899.4718,4459.4526,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_7,lightgbm,0.8143,0.0037,0.7784,0.0039,0.8249,0.0034,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_7,logistic_regression,0.7959,0.0045,0.7584,0.0049,0.808,0.0042,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,knn_7,random_forest,0.7743,0.0054,0.7413,0.0051,0.7894,0.0049,19407.2623,5072.4319,24559.9164,4585.1352,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,miceforest,lightgbm,0.8027,0.0009,0.7637,0.0026,0.8137,0.0012,18326.577,399.5347,25667.0938,487.1865,0.0,0.0,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,miceforest,logistic_regression,0.7574,0.0073,0.7146,0.012,0.7722,0.0076,18326.577,399.5347,25667.0938,487.1865,0.0,0.0,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,miceforest,random_forest,0.7881,0.0048,0.748,0.0023,0.8004,0.0036,18326.577,399.5347,25667.0938,487.1865,0.0,0.0,35121.3333,74.009,46212.6667,30.8923,,,,,,
adult,classification,MAR,0.15,simple_const,lightgbm,0.8199,0.0021,0.7839,0.0023,0.8299,0.002,31295.5342,616.9223,36717.1538,725.5329,0.5228,0.061,35121.3333,74.009,46212.6667,30.8923,,,,,,
